trip id,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,count
10_76,10,42.350406,-71.108279,76,42.366426,-71.105495,1
10_79,10,42.350406,-71.108279,79,42.37842,-71.105668,3
10_8,10,42.350406,-71.108279,8,42.353334,-71.137313,5
10_80,10,42.350406,-71.108279,80,42.36213123,-71.09115601,12
10_81,10,42.350406,-71.108279,81,42.352409,-71.062679,1
10_82,10,42.350406,-71.108279,82,42.3382668,-71.13894682,1
10_86,10,42.350406,-71.108279,86,42.33299892,-71.11634426,1
10_89,10,42.350406,-71.108279,89,42.379011,-71.119945,1
10_9,10,42.350406,-71.108279,9,42.35169202,-71.11903489,32
10_90,10,42.350406,-71.108279,90,42.370677,-71.076529,4
10_97,10,42.350406,-71.108279,97,42.36919032,-71.11714125,4
100_10,100,42.396969,-71.123024,10,42.350406,-71.108279,3
100_100,100,42.396969,-71.123024,100,42.396969,-71.123024,14
100_102,100,42.396969,-71.123024,102,42.400877,-71.116772,9
100_104,100,42.396969,-71.123024,104,42.380287,-71.125107,2
100_108,100,42.396969,-71.123024,108,42.377945,-71.116865,5
100_110,100,42.396969,-71.123024,110,42.376369,-71.114025,2
100_111,100,42.396969,-71.123024,111,42.40449,-71.123413,28
100_115,100,42.396969,-71.123024,115,42.387995,-71.119084,9
100_117,100,42.396969,-71.123024,117,42.36616223,-71.08688294,2
100_118,100,42.396969,-71.123024,118,42.397828,-71.130516,100
100_122,100,42.396969,-71.123024,122,42.345733,-71.100694,1
100_137,100,42.396969,-71.123024,137,42.398365,-71.107818,9
100_140,100,42.396969,-71.123024,140,42.388966,-71.132788,2
100_141,100,42.396969,-71.123024,141,42.36356016,-71.08216792,1
100_142,100,42.396969,-71.123024,142,42.396105,-71.139459,6
100_145,100,42.396969,-71.123024,145,42.392766,-71.129042,3
100_151,100,42.396969,-71.123024,151,42.358155,-71.052163,1
100_156,100,42.396969,-71.123024,156,42.39088802,-71.1096257,4
100_177,100,42.396969,-71.123024,177,42.36264779,-71.10006094,2
100_179,100,42.396969,-71.123024,179,42.35560121,-71.10394478,3
100_180,100,42.396969,-71.123024,180,42.37478629,-71.13320231,1
100_183,100,42.396969,-71.123024,183,42.39558846,-71.14260614,21
100_185,100,42.396969,-71.123024,185,42.36544486,-71.08277142,4
100_188,100,42.396969,-71.123024,188,42.39108438,-71.09039426,2
100_189,100,42.396969,-71.123024,189,42.36242784,-71.08495474,6
100_19,100,42.396969,-71.123024,19,42.347241,-71.105301,1
100_191,100,42.396969,-71.123024,191,42.33209606,-71.12845883,3
100_193,100,42.396969,-71.123024,193,42.33376473,-71.12046447,2
100_194,100,42.396969,-71.123024,194,42.38614141,-71.0782814,4
100_206,100,42.396969,-71.123024,206,42.35980252,-71.05960783,5
100_22,100,42.396969,-71.123024,22,42.352175,-71.055547,1
100_221,100,42.396969,-71.123024,221,42.37250865,-71.11305356,1
100_225,100,42.396969,-71.123024,225,42.37119728,-71.09759867,3
100_226,100,42.396969,-71.123024,226,42.35154735,-71.12126246,2
100_23,100,42.396969,-71.123024,23,42.35892,-71.057629,1
100_234,100,42.396969,-71.123024,234,42.3951715,-71.09850592,1
100_235,100,42.396969,-71.123024,235,42.38762811,-71.08318716,2
100_239,100,42.396969,-71.123024,239,42.39407224,-71.11133695,11
100_318,100,42.396969,-71.123024,318,42.3636929,-71.0875672,2
100_319,100,42.396969,-71.123024,319,42.3936,-71.143941,9
100_328,100,42.396969,-71.123024,328,42.39638681,-71.12011306,7
100_33,100,42.396969,-71.123024,33,42.348706,-71.097009,5
100_330,100,42.396969,-71.123024,330,42.38100143,-71.10402523,4
100_331,100,42.396969,-71.123024,331,42.33658555,-71.09886996,2
100_333,100,42.396969,-71.123024,333,42.37500235,-71.14871614,1
100_334,100,42.396969,-71.123024,334,42.39120972,-71.12260755,3
100_335,100,42.396969,-71.123024,335,42.36599433,-71.09522222,7
100_358,100,42.396969,-71.123024,358,42.38042947,-71.06055722,2
100_367,100,42.396969,-71.123024,367,42.38393225,-71.13961272,1
100_369,100,42.396969,-71.123024,369,42.36254854,-71.05737358,2
100_371,100,42.396969,-71.123024,371,42.38078817,-71.15412891,1
100_374,100,42.396969,-71.123024,374,42.35668335,-71.06166646,2
100_377,100,42.396969,-71.123024,377,42.37927325,-71.10341903,2
100_378,100,42.396969,-71.123024,378,42.38032335,-71.10878613,1
100_380,100,42.396969,-71.123024,380,42.36135838,-71.09670274,1
100_381,100,42.396969,-71.123024,381,42.37438409,-71.10015746,2
100_39,100,42.396969,-71.123024,39,42.3385146,-71.07404083,1
100_41,100,42.396969,-71.123024,41,42.352261,-71.123831,1
100_46,100,42.396969,-71.123024,46,42.34366582,-71.08582377,1
100_52,100,42.396969,-71.123024,52,42.348717,-71.085954,3
100_53,100,42.396969,-71.123024,53,42.35082681,-71.08981088,4
100_54,100,42.396969,-71.123024,54,42.354979,-71.063348,3
100_55,100,42.396969,-71.123024,55,42.347265,-71.088088,2
100_6,100,42.396969,-71.123024,6,42.36121165,-71.0653062,1
100_61,100,42.396969,-71.123024,61,42.348762,-71.082383,1
100_68,100,42.396969,-71.123024,68,42.36507,-71.1031,3
100_70,100,42.396969,-71.123024,70,42.3722168,-71.12188071,2
100_71,100,42.396969,-71.123024,71,42.383405,-71.107593,4
100_74,100,42.396969,-71.123024,74,42.373268,-71.118579,7
100_75,100,42.396969,-71.123024,75,42.36346469,-71.10057324,1
100_76,100,42.396969,-71.123024,76,42.366426,-71.105495,2
100_77,100,42.396969,-71.123024,77,42.386844,-71.09812,6
100_78,100,42.396969,-71.123024,78,42.3796581,-71.0939428,3
100_79,100,42.396969,-71.123024,79,42.37842,-71.105668,3
100_80,100,42.396969,-71.123024,80,42.36213123,-71.09115601,4
100_86,100,42.396969,-71.123024,86,42.33299892,-71.11634426,1
100_89,100,42.396969,-71.123024,89,42.379011,-71.119945,5
100_90,100,42.396969,-71.123024,90,42.370677,-71.076529,2
100_91,100,42.396969,-71.123024,91,42.366277,-71.09169,6
100_95,100,42.396969,-71.123024,95,42.372969,-71.094445,3
100_98,100,42.396969,-71.123024,98,42.371848,-71.060292,2
100_99,100,42.396969,-71.123024,99,42.385582,-71.113341,2
102_10,102,42.400877,-71.116772,10,42.350406,-71.108279,1
102_100,102,42.400877,-71.116772,100,42.396969,-71.123024,19
102_102,102,42.400877,-71.116772,102,42.400877,-71.116772,3
102_107,102,42.400877,-71.116772,107,42.3625,-71.08822,1
102_110,102,42.400877,-71.116772,110,42.376369,-71.114025,1
102_111,102,42.400877,-71.116772,111,42.40449,-71.123413,1
102_115,102,42.400877,-71.116772,115,42.387995,-71.119084,3
102_137,102,42.400877,-71.116772,137,42.398365,-71.107818,2
102_149,102,42.400877,-71.116772,149,42.363796,-71.129164,1
102_156,102,42.400877,-71.116772,156,42.39088802,-71.1096257,2
102_177,102,42.400877,-71.116772,177,42.36264779,-71.10006094,4
102_183,102,42.400877,-71.116772,183,42.39558846,-71.14260614,4
102_189,102,42.400877,-71.116772,189,42.36242784,-71.08495474,2
102_194,102,42.400877,-71.116772,194,42.38614141,-71.0782814,1
102_225,102,42.400877,-71.116772,225,42.37119728,-71.09759867,2
102_23,102,42.400877,-71.116772,23,42.35892,-71.057629,3
102_235,102,42.400877,-71.116772,235,42.38762811,-71.08318716,2
102_239,102,42.400877,-71.116772,239,42.39407224,-71.11133695,1
102_328,102,42.400877,-71.116772,328,42.39638681,-71.12011306,1
102_330,102,42.400877,-71.116772,330,42.38100143,-71.10402523,3
102_334,102,42.400877,-71.116772,334,42.39120972,-71.12260755,2
102_365,102,42.400877,-71.116772,365,42.3494261,-71.0620996,1
102_372,102,42.400877,-71.116772,372,42.34958942,-71.07946779,2
102_381,102,42.400877,-71.116772,381,42.37438409,-71.10015746,1
102_46,102,42.400877,-71.116772,46,42.34366582,-71.08582377,1
102_48,102,42.400877,-71.116772,48,42.356755,-71.055407,1
102_53,102,42.400877,-71.116772,53,42.35082681,-71.08981088,1
102_54,102,42.400877,-71.116772,54,42.354979,-71.063348,3
102_71,102,42.400877,-71.116772,71,42.383405,-71.107593,1
102_73,102,42.400877,-71.116772,73,42.373231,-71.120886,1
102_74,102,42.400877,-71.116772,74,42.373268,-71.118579,4
102_76,102,42.400877,-71.116772,76,42.366426,-71.105495,3
102_77,102,42.400877,-71.116772,77,42.386844,-71.09812,2
102_89,102,42.400877,-71.116772,89,42.379011,-71.119945,3
103_10,103,42.346563,-71.128374,10,42.350406,-71.108279,3
103_103,103,42.346563,-71.128374,103,42.346563,-71.128374,2
103_108,103,42.346563,-71.128374,108,42.377945,-71.116865,6
103_11,103,42.346563,-71.128374,11,42.338629,-71.1065,21
103_14,103,42.346563,-71.128374,14,42.33741748,-71.10286117,9
103_149,103,42.346563,-71.128374,149,42.363796,-71.129164,1
103_151,103,42.346563,-71.128374,151,42.358155,-71.052163,1
103_160,103,42.346563,-71.128374,160,42.33758601,-71.09627098,5
103_174,103,42.346563,-71.128374,174,42.34895285,-71.16031677,1
103_175,103,42.346563,-71.128374,175,42.34894857,-71.15027189,4
103_178,103,42.346563,-71.128374,178,42.3595732,-71.10129476,1
103_179,103,42.346563,-71.128374,179,42.35560121,-71.10394478,1
103_184,103,42.346563,-71.128374,184,42.35775309,-71.10393405,2
103_19,103,42.346563,-71.128374,19,42.347241,-71.105301,1
103_191,103,42.346563,-71.128374,191,42.33209606,-71.12845883,1
103_193,103,42.346563,-71.128374,193,42.33376473,-71.12046447,1
103_20,103,42.346563,-71.128374,20,42.35991176,-71.05142981,1
103_206,103,42.346563,-71.128374,206,42.35980252,-71.05960783,1
103_22,103,42.346563,-71.128374,22,42.352175,-71.055547,1
103_226,103,42.346563,-71.128374,226,42.35154735,-71.12126246,1
103_227,103,42.346563,-71.128374,227,42.349496,-71.10057592,3
103_233,103,42.346563,-71.128374,233,42.34619708,-71.10728681,1
103_33,103,42.346563,-71.128374,33,42.348706,-71.097009,1
103_330,103,42.346563,-71.128374,330,42.38100143,-71.10402523,1
103_331,103,42.346563,-71.128374,331,42.33658555,-71.09886996,2
103_332,103,42.346563,-71.128374,332,42.34953017,-71.13022771,2
103_338,103,42.346563,-71.128374,338,42.34835863,-71.13997217,1
103_342,103,42.346563,-71.128374,342,42.34465063,-71.09732501,3
103_352,103,42.346563,-71.128374,352,42.34827839,-71.08044855,1
103_354,103,42.346563,-71.128374,354,42.34286835,-71.14127841,2
103_359,103,42.346563,-71.128374,359,42.3339227,-71.10446509,1
103_361,103,42.346563,-71.128374,361,42.34924377,-71.0972821,1
103_363,103,42.346563,-71.128374,363,42.34521562,-71.06384031,1
103_365,103,42.346563,-71.128374,365,42.3494261,-71.0620996,1
103_37,103,42.346563,-71.128374,37,42.35732922,-71.1467354,1
103_373,103,42.346563,-71.128374,373,42.28634589,-71.1367213,1
103_376,103,42.346563,-71.128374,376,42.3602737,-71.12852452,2
103_39,103,42.346563,-71.128374,39,42.3385146,-71.07404083,1
103_42,103,42.346563,-71.128374,42,42.35205477,-71.07048687,2
103_54,103,42.346563,-71.128374,54,42.354979,-71.063348,1
103_55,103,42.346563,-71.128374,55,42.347265,-71.088088,2
103_59,103,42.346563,-71.128374,59,42.351356,-71.059367,1
103_66,103,42.346563,-71.128374,66,42.34922469,-71.13275303,1
103_67,103,42.346563,-71.128374,67,42.3581,-71.093198,3
103_68,103,42.346563,-71.128374,68,42.36507,-71.1031,1
103_69,103,42.346563,-71.128374,69,42.341598,-71.123338,11
103_70,103,42.346563,-71.128374,70,42.3722168,-71.12188071,2
103_74,103,42.346563,-71.128374,74,42.373268,-71.118579,2
103_80,103,42.346563,-71.128374,80,42.36213123,-71.09115601,12
103_86,103,42.346563,-71.128374,86,42.33299892,-71.11634426,2
103_9,103,42.346563,-71.128374,9,42.35169202,-71.11903489,3
104_104,104,42.380287,-71.125107,104,42.380287,-71.125107,2
104_105,104,42.380287,-71.125107,105,42.3572185,-71.11387163,1
104_107,104,42.380287,-71.125107,107,42.3625,-71.08822,8
104_108,104,42.380287,-71.125107,108,42.377945,-71.116865,10
104_11,104,42.380287,-71.125107,11,42.338629,-71.1065,3
104_110,104,42.380287,-71.125107,110,42.376369,-71.114025,15
104_115,104,42.380287,-71.125107,115,42.387995,-71.119084,12
104_116,104,42.380287,-71.125107,116,42.370803,-71.104412,3
104_122,104,42.380287,-71.125107,122,42.345733,-71.100694,1
104_140,104,42.380287,-71.125107,140,42.388966,-71.132788,2
104_141,104,42.380287,-71.125107,141,42.36356016,-71.08216792,1
104_142,104,42.380287,-71.125107,142,42.396105,-71.139459,4
104_145,104,42.380287,-71.125107,145,42.392766,-71.129042,1
104_149,104,42.380287,-71.125107,149,42.363796,-71.129164,4
104_15,104,42.380287,-71.125107,15,42.36154571,-71.13776207,2
104_156,104,42.380287,-71.125107,156,42.39088802,-71.1096257,2
104_157,104,42.380287,-71.125107,157,42.35317809,-71.04817357,5
104_176,104,42.380287,-71.125107,176,42.38674802,-71.11901879,4
104_178,104,42.380287,-71.125107,178,42.3595732,-71.10129476,3
104_180,104,42.380287,-71.125107,180,42.37478629,-71.13320231,2
104_181,104,42.380287,-71.125107,181,42.38165061,-71.13426981,1
104_183,104,42.380287,-71.125107,183,42.39558846,-71.14260614,1
104_184,104,42.380287,-71.125107,184,42.35775309,-71.10393405,1
104_185,104,42.380287,-71.125107,185,42.36544486,-71.08277142,1
104_189,104,42.380287,-71.125107,189,42.36242784,-71.08495474,1
104_190,104,42.380287,-71.125107,190,42.365673,-71.064263,7
104_218,104,42.380287,-71.125107,218,42.351586,-71.04569256,1
104_221,104,42.380287,-71.125107,221,42.37250865,-71.11305356,6
104_227,104,42.380287,-71.125107,227,42.349496,-71.10057592,4
104_234,104,42.380287,-71.125107,234,42.3951715,-71.09850592,3
104_29,104,42.380287,-71.125107,29,42.363732,-71.124565,1
104_30,104,42.380287,-71.125107,30,42.33462893,-71.10407918,2
104_318,104,42.380287,-71.125107,318,42.3636929,-71.0875672,5
104_33,104,42.380287,-71.125107,33,42.348706,-71.097009,1
104_333,104,42.380287,-71.125107,333,42.37500235,-71.14871614,1
104_335,104,42.380287,-71.125107,335,42.36599433,-71.09522222,1
104_345,104,42.380287,-71.125107,345,42.35182807,-71.06781138,2
104_367,104,42.380287,-71.125107,367,42.38393225,-71.13961272,1
104_37,104,42.380287,-71.125107,37,42.35732922,-71.1467354,1
104_377,104,42.380287,-71.125107,377,42.37927325,-71.10341903,1
104_381,104,42.380287,-71.125107,381,42.37438409,-71.10015746,1
